Аллергология,,,,,
Наименование,Цена Климовск,Цена Подольск,Цена Кирова,Длительность,Код номенклатуры
Лазерное удаление 1 единицы образований на коже век и слизистых оболочках диаметром до 1 мм - множественные (считать множественными 11-20шт),0,500,0,5,A16.01.017
Лазерное удаление 1 единицы образований на коже/лицо диаметром - до 15-19мм -единичный,0,7700,0,5,A16.01.017
Лазерное удаление 1 единицы образований на коже/лицо диаметром - до 1мм - множественные (считать множественными 10-20шт),0,300,0,5,A16.01.017
Лазерное удаление 1 единицы образований на коже/лицо диаметром - до 1мм -единичный,0,330,0,5,A16.01.017
Лазерное удаление 1 единицы образований на коже/лицо диаметром - до 2 мм -единичный,0,1000,0,5,A16.01.017
Лазерное удаление 1 единицы образований на коже/лицо диаметром - до 3 мм -единичный,0,1600,0,5,A16.01.017
Лазерное удаление 1 единицы образований на коже/лицо диаметром - до 4 мм -единичный,0,2200,0,5,A16.01.017
Лазерное удаление 1 единицы образований на коже/лицо диаметром - до 5 мм -единичный,0,2600,0,5,A16.01.017
Лазерное удаление 1 единицы образований на коже/лицо диаметром - до 6 мм -единичный,0,3000,0,5,A16.01.017
Лазерное удаление 1 единицы образований на коже/лицо диаметром - до 7мм -единичный,0,3300,0,5,A16.01.017
Лазерное удаление 1 единицы образований на коже/лицо диаметром - до 8мм -единичный,0,3700,0,5,A16.01.017
Лазерное удаление 1 единицы образований на коже/лицо диаметром - до 9-14мм -единичный,0,5300,0,5,A16.01.017
Лазерное удаление 1 единицы образований на коже/тело диаметром - до 15-19 мм -единичный,0,5200,0,5,A16.01.017
Лазерное удаление 1 единицы образований на коже/тело диаметром - до 1мм - множественные (считать множественными 10-20шт),0,190,0,5,A16.01.017
Лазерное удаление 1 единицы образований на коже/тело диаметром - до 1мм -единичный,0,200,0,5,A16.01.017
Лазерное удаление 1 единицы образований на коже/тело диаметром - до 2 мм -единичный,0,650,0,5,A16.01.017
Лазерное удаление 1 единицы образований на коже/тело диаметром - до 3 мм -единичный,0,1200,0,5,A16.01.017
Лазерное удаление 1 единицы образований на коже/тело диаметром - до 4 мм -единичный,0,1500,0,5,A16.01.017
Лазерное удаление 1 единицы образований на коже/тело диаметром - до 5 мм -единичный,0,1700,0,5,A16.01.017
Лазерное удаление 1 единицы образований на коже/тело диаметром - до 6 мм -единичный,0,1900,0,5,A16.01.017
Лазерное удаление 1 единицы образований на коже/тело диаметром - до 7мм -единичный,0,2200,0,5,A16.01.017
Лазерное удаление 1 единицы образований на коже/тело диаметром - до 8мм -единичный,0,2600,0,5,A16.01.017
Лазерное удаление 1 единицы образований на коже/тело диаметром - до 9-14 мм -единичный,0,3700,0,5,A16.01.017
Лазерное удаление 1 единицы образований на реснитчатом крае век диаметром - до 1мм -единичный,0,1800,0,5,A16.01.017
Лазерное удаление 1 единицы образований на реснитчатом крае век диаметром - до 2 мм -единичный,0,3800,0,5,A16.01.017
Лазерное удаление 1 единицы образований на реснитчатом крае век диаметром - до 3 мм -единичный,0,6000,0,5,A16.01.017
Лазерное удаление 1 единицы образований на реснитчатом крае век диаметром - до 4 мм -единичный,0,7700,0,5,A16.01.017
Лазерное удаление 1 единицы образований на реснитчатом крае век диаметром - до 5 мм -единичный,0,9900,0,5,A16.01.017
Перевязка,0,1400,0,10,A15.01.001
Радикальная операция по удалению вросшего ногтя (2 стороны),0,10000,0,30,
Радикальная операция по удалению вросшего ногтя(1 сторона),0,6000,0,30,
Снятие швов - перевязка,0,1200,0,10,
Хирургическое удаление новообразований кожа/тело 12-22 мм разреза,0,15000,0,40,
Хирургическое удаление новообразований кожа/тело 22-32 мм разреза,0,20000,0,40,
Хирургическое удаление новообразований кожа/тело 32-42 мм разреза,0,25000,0,40,
Хирургическое удаление новообразований кожа/тело 42-52 мм разреза,0,30000,0,40,
Хирургическое удаление новообразований кожа/тело 5-6 мм до 12 мм разреза,0,10000,0,40,
Шовный материал импортный,0,900,0,5,
Шовный материал отечественный,0,500,0,5,
Дерматолого-косметология,,,,,
Наименование,Цена Климовск,Цена Подольск,Цена Кирова,Длительность,Код номенклатуры
"Анестезия безинъекционная (5% гель Эмла, Акриол Про) 1 зона",0,600,0,20,B01.003.004.001
"Анестезия инъекционная (Убистезин, Ультракаин, Артикаин)",0,700,0,5,B01.003.004.001
"Введение искусственных наполнителей в мягкие ткани с целью коррекции формы - Контурная пластика STYLAGE M , 1 мл, Франция",0,17000,0,90,A11.01.013
"Введение искусственных наполнителей в мягкие ткани с целью коррекции формы - Контурная пластика STYLAGE S, 0,8 мл, Франция",0,15000,0,90,A11.01.013
"Введение искусственных наполнителей в мягкие ткани с целью коррекции формы - Контурная пластика губ Juvederm ULTRA Smile 0,55 мл",0,13000,0,90,A11.01.013
Взятие материала на демодекс,0,400,0,10,A11.01.009
Взятие образца биологического материала из очагов поражения на патологический грибок,0,400,0,10,A11.01.018
"Внутрикожное введение лекарственных препаратов (биоревитализация, гиалуроновый гель РЕВИ Силк (Revi Silk) 1.2%) 1 мл",0,12000,0,80,
"Внутрикожное введение лекарственных препаратов (биоревитализация, препарат РЕВИ 1% ) 1 мл",0,9000,0,60,A11.01.003
"Внутрикожное введение лекарственных препаратов (биорепарация , препарат ГИАЛРИПАЙЕР-02) 2,0 мл",0,13000,0,80,
"Внутрикожное введение лекарственных препаратов (биорепарация , препарат Гиалрипайер-06) 5 мл",0,6200,0,80,A11.01.003
"Внутрикожное введение лекарственных препаратов (биорепарация, препарат Гиалрипайер-02 )  1 мл",0,9400,0,80,A11.01.003
"Внутрикожное введение лекарственных препаратов (биорепарация, препарат Гиалрипайер-02 ) 1,5 мл",0,9400,0,80,A11.01.003
"Внутрикожное введение лекарственных препаратов (биорепарация, препарат Гиалрипайер-04)  1,5 мл",0,9400,0,80,A11.01.003
"Внутрикожное введение лекарственных препаратов (биорепарация, препарат Гиалрипайер-10) 5 мл",0,8000,0,80,A11.01.003
"Внутрикожное введение лекарственных препаратов (коллагенотерапия , препарат Гель КОЛЛОСТ 15%  (Россия)  1,0 мл",0,14000,0,60,
"Внутрикожное введение лекарственных препаратов (коллагенотерапия , препарат Гель КОЛЛОСТ 7%  (Россия)  1,5 мл",0,12000,0,60,A11.01.003
"Внутрикожное введение лекарственных препаратов (коллагенотерапия , препарат Гель КОЛЛОСТ 7%  (Россия) 0,1 мл (проба)",0,2400,0,40,A11.01.003
"Внутрикожное введение лекарственных препаратов (коллагенотерапия , препарат Гель КОЛЛОСТ 7% (Россия) 1 мл",0,9500,0,60,A11.01.003
"Внутримышечное введение лекарственных препаратов (ботулинотерапия, препарат Ксеомин)  1 ед",0,200,0,60,A11.02.002
"Внутримышечное введение лекарственных препаратов (ботулинотерапия, препарат Релатокс) 1 ед",0,300,0,60,A11.02.002
"Внутримышечное введение лекарственных препаратов (ботулинотерапия, препарат Релатокс) 10 ед.",0,3000,0,60,A11.02.002
"Внутримышечное введение лекарственных препаратов (ботулинотерапия, препарат Релатокс) 15 ед.",0,4500,0,60,A11.02.002
"Внутримышечное введение лекарственных препаратов (ботулинотерапия, препарат Релатокс) 2 ед",0,600,0,60,A11.02.002
"Внутримышечное введение лекарственных препаратов (ботулинотерапия, препарат Релатокс) 20 ед.",0,6000,0,60,A11.02.002
"Внутримышечное введение лекарственных препаратов (ботулинотерапия, препарат Релатокс) 3 ед.",0,900,0,60,A11.02.002
"Внутримышечное введение лекарственных препаратов (ботулинотерапия, препарат Релатокс) 5 ед.",0,1500,0,60,A11.02.002
Внутримышечное введение лекарственных препаратов - Лечение гипергидроза ( препарат Релатокс ) 1 ед.,0,250,0,5,A11.02.002
Внутримышечное введение лекарственных препаратов - Лечение гипергидроза (препарат Релатокс 50 ед),0,15000,0,80,A11.02.002
Внутриочаговое введение гормональных препаратов (Кеналог),0,1800,0,30,A11.01.002
"Внутриочаговое введение лекарственных средств (линкомицин, дипроспан, лидокаин)",0,1800,0,40,A11.01.002
"Глубокое увлажнение. Anti-age уход для обезвоженной кожи любого типа. Увлажнение, разглаживание морщин.",0,3500,0,80,А14.01.005
Дарсонализация волос,0,700,0,30,A17.01.007
Дарсонвализация кожи (1 зона),0,700,0,20,A17.01.007
Дарсонвализация кожи (лицо),0,700,0,30,A17.01.007
Карбоновый лазерный пилинг (аппарат INOVATION PRO) - декольте,0,2500,0,60,A17.01.008
Карбоновый лазерный пилинг (аппарат INOVATION PRO) - лицо,0,2500,0,60,A17.01.008
Карбоновый лазерный пилинг (аппарат INOVATION PRO) - лицо + декольте,0,3900,0,60,A17.01.008
Карбоновый лазерный пилинг (аппарат INOVATION PRO) - лицо + декольте + кисти рук,0,4900,0,60,A17.01.008
Карбоновый лазерный пилинг (аппарат INOVATION PRO) - лицо + шея,0,3900,0,60,A17.01.008
Карбоновый лазерный пилинг (аппарат INOVATION PRO) - лицо + шея+декольте,0,4900,0,60,A17.01.008
Картирование частичное (до 5-ти образований) с заключением на аппарате РДС-3,0,3500,0,40,
Картирование. Паспорт родинок с заключением на аппарате РДС-3 (до 30 новообразований) результат на флеш-карте,0,6000,0,40,
Картирование. Паспорт родинок с заключением на аппарате РДС-3 (до 50 новообразований) результат на флеш-карте,0,8000,0,60,
Комбинированная чистка лица (механическая + ультразвуковая),0,3800,0,120,A14.01.005
Комплексная программа: Тотальное бикини + подмышки,0,3400,0,40,A14.01.013
Консультация врача-трихолога + трихометрия,0,3000,0,60,
Крем для лица по типу кожи,0,250,0,5,
Лимфодренажный массаж лица,0,1600,0,60,A21.01.006
Маски уходовые по типу кожи,0,400,0,20,A14.01.012
Массаж лица медицинский (классический),0,1600,0,60,
Массаж лица медицинский (лимфодренажный),0,1600,0,60,A21.01.002
Массаж лица медицинский (пластический),0,1600,0,60,A21.01.002
"Мезотерапия волосистой части головы, 1 амп  CURACEN",0,5800,0,60,A11.01.003
"Мезотерапия лицо + зона декольте, 2 амп  CURACEN",0,11200,0,60,A11.01.003
"Мезотерапия по лицу, 1 амп CURACEN",0,5800,0,60,A11.01.003
Механическая чистка (спина),0,3000,0,80,A14.01.009
Механическая чистка лица,0,3500,0,90,A14.01.009
Микроскопия волос (трихометрия),0,1500,0,50,А03.01.001
Микротоковая терапия с сывороткой по типу кожи (30 мин),0,2000,0,60,A17.01.010
Микротоковая терапия тела,0,2000,0,60,A17.01.010
"Нанесение сывороток, концентратов",0,380,0,5,
"Обновляющий уход. Уменьшение воспаления, выравнивание рельефа, цвета и тона кожа",0,3500,0,80,А14.01.005
Осмотр кожи под увеличением (дерматоскопия),0,500,0,20,A03.01.001
Очищение кожи лица и шеи ( Салициловый  химический пилинг)  45 мин,0,2000,0,45,A14.01.005
Очищение кожи лица и шеи (Миндальный химический пилинг)  45 мин,0,2000,0,45,A14.01.005
Перерыв,0,1,0,15,
Плазмотерапия. Волосистая часть головы,0,3400,0,60,A11.01.003
Плазмотерапия. декольте,0,3400,0,60,A11.01.003
Плазмотерапия. Кисти,0,3400,0,60,A11.01.003
Плазмотерапия. Лицо,0,3400,0,60,A11.01.003
Плазмотерапия. Лицо + шея,0,5200,0,95,A11.01.003
Плазмотерапия. Лицо+шея+декольте,0,6200,0,100,A11.01.003
Плазмотерапия. Область век,0,3400,0,60,A11.01.003
Плазмотерапия. Шея,0,2800,0,60,A11.01.003
Получение соскоба с эрозивно-язвенных элементов кожи и слизистых оболочек,0,400,0,10,A11.01.019
"Прием (осмотр, консультация) врача-дерматовенеролога первичный",0,2000,0,30,B01.008.001
"Прием (осмотр, консультация) врача-дерматовенеролога повторный, в течение 2-х месяцев",0,2000,0,30,B01.008.002
"Прием (осмотр, консультация) врача-косметолога первичный",0,2000,0,30,B01.008.003
"Прием (осмотр, консультация) врача-косметолога повторный",0,2000,0,30,
"Прием врача-трихолога, первичный",0,2000,0,30,
"Прием врача-трихолога, первичный (повторный, в течении 2-х месяцев)",0,2000,0,30,
"Программа Лайт ( тотальное бикини, подмышки, голени)",0,5800,0,60,A14.01.013
"Программа Оптимальный ( тотальное бикини, подмышки, ноги полностью)",0,9900,0,60,A14.01.013
"Программа Премиум ( тотальное бикини, подмышки, ноги полностью, руки полностью)",0,12900,0,100,A14.01.013
Сертификат.,0,500,0,5,
Удаление бородавок (лицо) 1-2 мм,0,350,0,40,A17.30.021
Удаление бородавок (лицо) 1-2 мм от 10шт,0,300,0,60,A16.01.017.001.2
Удаление бородавок (лицо) 2-5 мм,0,600,0,40,A17.30.021
Удаление доброкачественных новообразований кожи (лицо) 3-5 мм,0,600,0,30,A17.30.021
Удаление доброкачественных новообразований кожи (лицо) более 5 мм,0,1200,0,40,A17.30.021
Удаление доброкачественных новообразований кожи (лицо) до 3 мм,0,350,0,30,A17.30.021
Удаление доброкачественных новообразований кожи (лицо) до 3 мм более 10шт,0,300,0,40,A17.30.021
Удаление доброкачественных новообразований кожи (лицо) до 3 мм более 20шт,0,200,0,60,A17.30.021
"Удаление доброкачественных новообразований кожи (шея, тело) 3-5 мм",0,600,0,30,A17.30.021
"Удаление доброкачественных новообразований кожи (шея, тело) более 5 мм",0,1000,0,30,A17.30.021
"Удаление доброкачественных новообразований кожи (шея, тело) до 3 мм более 10шт",0,300,0,60,A17.30.021
"Удаление доброкачественных новообразований кожи (шея, тело) до 3 мм более 20шт",0,200,0,60,A17.30.021
"Удаление доброкачественных новообразований кожи (шея, тело) до 3 мм до 10шт",0,350,0,30,A17.30.021
Удаление контагиозных моллюсков (механическим способом) за 1 шт,0,400,0,30,A16.01.020
Удаление милиумов кожи (механическим способом) 1-3 шт,0,400,0,30,A14.01.010
Удаление милиумов кожи (механическим способом) 10 и более шт,0,150,0,40,A14.01.010
Удаление милиумов кожи (механическим способом) 3-10 шт,0,250,0,30,A14.01.010
"Удаление пигментных пятен (локальный участок 1 – 4,5 кв.см)",0,900,0,30,
Удаление сосудов. Крылья носа,0,1500,0,30,A22.01.001
Удаление сосудов. Одиночный сосуд,0,900,0,30,A22.01.001
Удаление сосудов. Щеки,0,2300,0,30,A22.01.001
Удаление сосудов: Лоб,0,1500,0,30,A22.01.001
Удаление сосудов: Нос,0,1500,0,30,A22.01.001
Удаление сосудов: Подбородок,0,1500,0,30,A22.01.001
Ультразвуковая терапия лица,0,2400,0,40,A22.01.001
"Ультразвуковой пилинг (демакияж, чистка, маска, крем)",0,3000,0,60,A22.01.001.002
"Универсальный уход для обезвоженной кожи любого типа (очищение, тонизация, активный уход, сыворотки, массаж, маска по типу кожи/альгинатная, крем)",0,3500,0,80,А14.01.005
Уход за жирной кожей (Атравматичная чистка),0,3500,0,80,А14.01.005
Фотоомоложение  Anti-Age (аппарат INOVATION PRO) - лицо,0,3500,0,40,A22.01.001
Фотоомоложение  Anti-Age (аппарат INOVATION PRO) - лицо и шея,0,5000,0,60,A22.01.001
"Фотоомоложение  Anti-Age (аппарат INOVATION PRO) - лицо, шея и декольте",0,6500,0,60,A22.01.001
Фотопроба,0,1,0,5,
Фракционная мезотерапия. Лицо,0,3000,0,60,A11.01.003
Фракционная мезотерапия. Лицо (две ампулы),0,3500,0,60,A11.01.003
Фракционная мезотерапия. Лицо + шея,0,4300,0,60,A11.01.003
Фракционная мезотерапия. Лицо + шея + зона декольте,0,4900,0,60,A11.01.003
Эпиляция IPLaser (аппарат INOVATION PRO) - бедра,0,3500,0,30,A14.01.013
Эпиляция IPLaser (аппарат INOVATION PRO) - бикини классическое,0,1500,0,30,A14.01.013
Эпиляция IPLaser (аппарат INOVATION PRO) - бикини тотальное,0,2300,0,45,A14.01.013
Эпиляция IPLaser (аппарат INOVATION PRO) - верхняя губа,0,700,0,30,A14.01.013
Эпиляция IPLaser (аппарат INOVATION PRO) - голени,0,3500,0,30,A14.01.013
Эпиляция IPLaser (аппарат INOVATION PRO) - грудь (ареолы),0,700,0,30,A14.01.013
Эпиляция IPLaser (аппарат INOVATION PRO) - живот полностью,0,2200,0,30,
Эпиляция IPLaser (аппарат INOVATION PRO) - линия живота,0,700,0,30,A14.01.013
Эпиляция IPLaser (аппарат INOVATION PRO) - лицо полностью,0,2200,0,40,A14.01.013
Эпиляция IPLaser (аппарат INOVATION PRO) - ноги полностью,0,6900,0,45,A14.01.013
Эпиляция IPLaser (аппарат INOVATION PRO) - подбородок,0,800,0,30,A14.01.013
Эпиляция IPLaser (аппарат INOVATION PRO) - подмышки,0,1200,0,30,A14.01.013
Эпиляция IPLaser (аппарат INOVATION PRO) - руки до локтя,0,1500,0,30,A14.01.013
Эпиляция IPLaser (аппарат INOVATION PRO) - руки полностью,0,2800,0,40,A14.01.013
Эпиляция IPLaser (аппарат INOVATION PRO) - щеки,0,900,0,30,A14.01.013
Эпиляция IPLaser (аппарат INOVATION PRO)- мужчины: грудь полностью,0,3400,0,30,A14.01.013
Эпиляция IPLaser (аппарат INOVATION PRO)- мужчины: живот дорожка,0,900,0,30,A14.01.013
Эпиляция IPLaser (аппарат INOVATION PRO)- мужчины: живот полностью,0,2200,0,30,A14.01.013
Эпиляция IPLaser (аппарат INOVATION PRO)- мужчины: лицо полностью,0,3400,0,30,A14.01.013
Эпиляция IPLaser (аппарат INOVATION PRO)- мужчины: плечи,0,1800,0,30,A14.01.013
Эпиляция IPLaser (аппарат INOVATION PRO)- мужчины: подмышки,0,1600,0,30,A14.01.013
Эпиляция IPLaser (аппарат INOVATION PRO)- мужчины: предплечья,0,2200,0,30,A14.01.013
Эпиляция IPLaser (аппарат INOVATION PRO)- мужчины: спина полностью,0,3600,0,30,A14.01.013
Диетология,,,,,
Наименование,Цена Климовск,Цена Подольск,Цена Кирова,Длительность,Код номенклатуры
Акция Первичный прием диетолога + Биоимпедансометрия,0,3000,0,60,"B01.013.001
A05.30.014"
"Определение процентного соотношения воды, мышечной и жировой ткани с помощью биоимпедансметра",0,2000,0,30,A05.30.014
Первичный прием диетолога,2000,2000,0,60,B01.013.001
Повторный прием диетолога,2000,2000,0,60,B01.013.002
Составление индивидуального рациона на 1 месяц,10000,10000,0,10,
Иглорефлексотерапия,,,,,
Наименование,Цена Климовск,Цена Подольск,Цена Кирова,Длительность,Код номенклатуры
"Прием (осмотр, консультация) врача-рефлексотерапевта первичный",0,0,1000,15,B01.041.001
"Прием (осмотр, консультация) врача-рефлексотерапевта повторный",0,0,1000,15,B01.041.002
Процедура комплексной программы рефлексотерапии сеанс 50 мин,0,0,4500,50,
Процедура рефлексотерапии расширенный сеанс 55 мин,0,0,4500,55,
Процедура рефлексотерапии сеанс 40 мин,0,0,3500,40,
Кардиология,,,,,
Наименование,Цена Климовск,Цена Подольск,Цена Кирова,Длительность,Код номенклатуры
"Кардиокомплекс (Эхо-сердца, ЭКГ, приём кардиолога)",5200,5200,5200,100,"В01.015.001
А05.10.004
A04.10.002"
"Кардиологический комплекс детский (Эхо сердца, ЭКГ, прием кардиолога)",0,5500,5500,100,"B01.015.003
А05.10.004
A04.10.002"
Прием детского кардиолога,0,2300,2300,50,B01.015.003
Прием детского кардиолога +Эхо сердца,0,4900,4900,80,B01.015.003
Прием кардиолога,2000,2000,2000,30,В01.015.001
Прием кардиолога (повторно),2000,2000,2000,30,В01.015.002
Прием кардиолога на дому (выезд) + ЭКГ с расшифровкой,4000,4000,4000,5,"В01.015.001
А05.10.004"
ЭКГ у кардиолога,1000,1000,1000,5,А05.10.004
Косметика,,,,,
Наименование,Цена Климовск,Цена Подольск,Цена Кирова,Длительность,Код номенклатуры
"Intense Clearing Mask, 75 ml",0,4500,0,5,
"Janssen  1900  Eye Flash Fluid  7 x 1,5 мл  Увлажняющая и восстанавливающая сыворотка в ампулах для контура глаз",0,2100,0,5,
Janssen  1912 Instant Soothing Oil 7 х 2 мл Мгновенно успокаивающее масло для чувствительной кожи,0,2100,0,5,
"Janssen  1917  Skin Contour Fluid  7 х 2 мл  Anti-age лифтинг-сыворотка в ампулах с пептидами, стимулирующими синтез эластина",0,2100,0,5,
"Janssen  1941  Normalizing Fluid (oily, acne prone skin)   7х2мл  Нормализующий концентрат для ухода за жирной кожей",0,2100,0,5,
Janssen  1951  Hyaluron Fluid  7x2мл  Ультраувлажняющая сыворотка с гиалуроновой кислотой,0,2100,0,5,
"Janssen  3360  Dark Circle Eye Cream  15 мл  Универсальный увлажняющий крем  для глаз от темных кругов, отеков и морщин",0,2100,0,5,
Janssen  4040 Intense Clearing Mask 75 мл Интенсивно очищающая маска,4100,0,0,5,
Janssen  6611  Tinted Balancing Cream  50 мл  Балансирующий крем с тонирующим эффектом,0,2800,0,5,
